^FINANCIAL,2014-01-07,1472.06,1474.87,1464.22,1467.08,1157457,32188
AUB,2014-01-07,68.6,69,68.6,68.7,72060,-690798
BDO,2014-01-07,71.9,72.25,71.75,71.85,7085300,37867856
BPI,2014-01-07,87.9,87.9,86.5,87.4,616830,-15864996
CHIB,2014-01-07,59.5,60,59.5,60,79140,-1457965
EW,2014-01-07,24.85,24.95,24.25,24.25,207500,36315
MBT,2014-01-07,79,79,78.2,78.4,4556870,25767786
PBB,2014-01-07,22.4,23.35,21.95,22.5,7300,-24500
PBC,2014-01-07,68,68,68,68,1170,0
PNB,2014-01-07,87.2,87.2,86.5,86.6,1931800,-14457399
RCB,2014-01-07,43.2,44,43.2,43.95,210500,-560810
SECB,2014-01-07,117.6,118.4,115.7,115.7,344820,1885910
UBP,2014-01-07,124,124,124,124,2380,-295120
AGF,2014-01-07,3,3.01,3,3,27000,0
BKD,2014-01-07,2.09,2.14,2.09,2.11,351000,-69630
BLFI,2014-01-07,2,2,2,2,50000,0
COL,2014-01-07,16.8,16.8,16.8,16.8,1300,0
I,2014-01-07,2.66,2.66,2.66,2.66,4000,0
MED,2014-01-07,0.194,0.249,0.194,0.23,9680000,0
PSE,2014-01-07,305.8,305.8,303,303,3150,51918
SLF,2014-01-07,1387,1387,1340,1340,235,0
V,2014-01-07,2.5,2.5,2.5,2.5,4000,0
^INDUSTRIAL,2014-01-07,8956.45,8958.27,8825.32,8825.32,981297,-284481
ACR,2014-01-07,1.34,1.34,1.34,1.34,224000,0
AP,2014-01-07,34.3,34.65,34.3,34.35,1761500,-1188020
EDC,2014-01-07,5.65,5.7,5.5,5.5,5013200,-15663251
FGEN,2014-01-07,14.4,14.4,14.24,14.36,3413300,7863914
FPH,2014-01-07,58,58.55,56.7,57.2,231460,-3198373
H2O,2014-01-07,6.57,7.24,6.54,7.24,22700,30900
MER,2014-01-07,263.6,263.6,257,257,148240,-14240902
MWC,2014-01-07,23.5,23.5,23.35,23.5,479000,824160
PCOR,2014-01-07,14.12,14.28,14,14.08,2708300,976844
PNX,2014-01-07,4.9,4.9,4.82,4.89,15000,0
SPC,2014-01-07,4.3,4.3,4.3,4.3,2000,0
TA,2014-01-07,1.59,1.59,1.53,1.54,8925000,242230
VVT,2014-01-07,11.1,11.1,11.04,11.04,45000,0
ANI,2014-01-07,5.03,5.55,5.03,5.55,6800,0
DMPL,2014-01-07,22.8,22.85,22.75,22.75,20700,-437770
DNL,2014-01-07,6.54,6.54,6.47,6.49,1066000,-347047
EMP,2014-01-07,10.7,10.9,10.7,10.8,6027500,-4126194
FOOD,2014-01-07,1.01,1.01,0.98,0.98,464000,100480
GSMI,2014-01-07,21.6,21.9,21.5,21.9,3800,0
JFC,2014-01-07,174.5,174.5,170.5,172,431760,-9668086
LTG,2014-01-07,15.16,15.16,15.02,15.04,3612600,-7389348
PCKH,2014-01-07,15,15.3,15,15.1,3900,0
PF,2014-01-07,225,228,220.6,228,4750,-967650
PIP,2014-01-07,4.48,4.53,4.48,4.53,4746000,10468900
RFM,2014-01-07,5.6,5.8,5.6,5.7,3268800,4540691
ROX,2014-01-07,5.61,5.85,5.61,5.7,261600,-390
SFI,2014-01-07,0.125,0.125,0.125,0.125,100000,0
SMC,2014-01-07,61.6,62.3,61.2,61.5,121760,-1103005
URC,2014-01-07,118.8,118.8,115.5,115.5,2859390,-246773556
VITA,2014-01-07,0.62,0.62,0.61,0.61,84000,0
VMC,2014-01-07,2.03,2.05,1.95,2.03,2156000,-1307900
ABG,2014-01-07,10.3,11.7,10.3,11.7,12000,0
DAVIN,2014-01-07,0.9,0.9,0.9,0.9,51000,0
EEI,2014-01-07,10,10.16,9.96,9.97,471200,1093060
FED,2014-01-07,8.09,8.09,8.09,8.09,1000,0
HLCM,2014-01-07,15.6,15.6,15.5,15.5,4000,44950
LRI,2014-01-07,8.85,8.85,8.77,8.78,409600,0
MWIDE,2014-01-07,13.24,13.24,12.5,12.5,571600,-2408798
VUL,2014-01-07,1.37,1.38,1.36,1.38,462000,0
COAT,2014-01-07,2.99,2.99,2.99,2.99,88000,-263120
LMG,2014-01-07,3.05,3.1,3.05,3.1,68000,3100
MCP,2014-01-07,14.38,14.38,13.78,13.78,1403800,-3026374
CHIPS,2014-01-07,14.48,14.48,13.02,14.38,12100,0
CIC,2014-01-07,24.75,24.75,24.45,24.45,361600,1439040
GREEN,2014-01-07,0.012,0.012,0.012,0.012,1100000,0
IMI,2014-01-07,2.72,2.72,2.72,2.72,1000,0
^HOLDING,2014-01-07,5477.99,5499.25,5445.17,5445.17,1072075,-107567
AAA,2014-01-07,1.9,1.96,1.9,1.96,11000,0
ABA,2014-01-07,0.51,0.51,0.5,0.5,609000,0
AC,2014-01-07,529.5,529.5,523,524,197230,-7454490
AEV,2014-01-07,54.4,54.4,53.6,54.35,1123330,-33234141
AGI,2014-01-07,26,26.35,25.85,26.15,5505600,2586950
ANS,2014-01-07,6.74,6.74,6.74,6.74,25000,0
APO,2014-01-07,1.88,1.88,1.7,1.83,17000,0
ATNB,2014-01-07,1.25,1.25,1.2,1.2,120000,0
COSCO,2014-01-07,9.09,9.09,8.9,8.9,1043100,-3691098
DMC,2014-01-07,57.85,57.85,55.55,56,847440,-7760499
FDC,2014-01-07,4.3,4.3,4.3,4.3,6000,0
GTCAP,2014-01-07,770,770,761.5,767,77220,-5724360
HI,2014-01-07,6.52,6.52,6.33,6.33,1500,0
JGS,2014-01-07,39.5,39.5,38.2,38.2,2179600,-20076750
LIHC,2014-01-07,0.63,0.65,0.63,0.63,3000,0
LPZ,2014-01-07,4.18,4.25,4.18,4.19,930000,825540
MARC,2014-01-07,3.3,3.35,3.2,3.2,2674000,162500
MHC,2014-01-07,0.6,0.6,0.6,0.6,100000,-60000
MIC,2014-01-07,5,5.1,5,5.1,10000,0
MPI,2014-01-07,4.34,4.37,4.28,4.3,32005000,6958530
PRIM,2014-01-07,1.55,1.55,1.55,1.55,3000,0
REG,2014-01-07,2.55,2.55,2.55,2.55,5000,0
SGI,2014-01-07,1.2,1.24,1.2,1.22,1515000,-24600
SINO,2014-01-07,0.27,0.27,0.27,0.27,20000,-5400
SM,2014-01-07,712.5,724,710,713.5,496510,-40018125
SOC,2014-01-07,1.02,1.04,1.01,1.04,59000,-49580
UNI,2014-01-07,0.16,0.16,0.16,0.16,30000,-1600
WIN,2014-01-07,0.17,0.188,0.17,0.185,470000,0
^PROPERTY,2014-01-07,2255.5,2269.74,2237.8,2240.48,778482,-9238
ALCO,2014-01-07,0.188,0.19,0.188,0.19,1840000,0
ALHI,2014-01-07,14.1,14.48,14.1,14.28,2400,-2896
ALI,2014-01-07,25.5,25.85,25.5,25.6,7008100,8343115
ALPHA,2014-01-07,18.82,19.5,18,18,74300,-18840
BEL,2014-01-07,5.02,5.07,4.9,4.9,3048500,-5472234
BRN,2014-01-07,1.07,1.07,1.05,1.05,294000,0
CHI,2014-01-07,5.63,5.7,5.63,5.66,467300,-2499060
CPG,2014-01-07,1.39,1.44,1.39,1.41,8512000,-1041670
CYBR,2014-01-07,0.52,0.52,0.52,0.52,12000,0
ELI,2014-01-07,0.93,0.93,0.93,0.93,6000,0
EVER,2014-01-07,0.176,0.203,0.176,0.203,280000,0
FLI,2014-01-07,1.39,1.39,1.36,1.36,4333000,-3857460
GERI,2014-01-07,1.37,1.39,1.36,1.38,845000,0
HOUSE,2014-01-07,6.21,6.62,6.2,6.62,10000,0
IRC,2014-01-07,1.39,1.42,1.37,1.41,355000,-13900
KEP,2014-01-07,2.83,2.83,2.83,2.83,2000,0
MEG,2014-01-07,3.42,3.46,3.38,3.4,52236000,78558920
MRC,2014-01-07,0.079,0.079,0.079,0.079,10000,0
PHES,2014-01-07,0.365,0.385,0.365,0.385,120000,0
PRMX,2014-01-07,4.11,4.28,3.8,4,460000,0
RLC,2014-01-07,20.2,20.65,20.2,20.65,845100,-8161570
ROCK,2014-01-07,1.6,1.6,1.56,1.56,7000,0
SHNG,2014-01-07,3.15,3.26,3.15,3.25,7000,0
SLI,2014-01-07,0.6,0.65,0.6,0.64,3302000,-22400
SMPH,2014-01-07,14.64,14.78,14.4,14.4,12825000,-71244418
STR,2014-01-07,3.57,3.59,3.55,3.55,70000,0
SUN,2014-01-07,0.95,0.95,0.93,0.94,391000,0
VLL,2014-01-07,5.38,5.4,5.28,5.3,1461700,-3806261
^SERVICE,2014-01-07,1858.63,1862.01,1849.3,1850.94,946703,14389
ABS,2014-01-07,31.5,31.5,30.6,30.6,9700,0
GMA7,2014-01-07,8.5,8.5,8.21,8.4,89500,0
MB,2014-01-07,0.72,0.72,0.67,0.67,3000,0
GLO,2014-01-07,1613,1613,1603,1610,158835,-9813650
TEL,2014-01-07,2640,2642,2624,2628,126535,42841070
DFNN,2014-01-07,5.3,5.3,5.09,5.1,25200,0
ISM,2014-01-07,1.91,1.98,1.91,1.98,22000,0
MG,2014-01-07,0.37,0.375,0.37,0.375,60000,0
NXT,2014-01-07,2.05,2.24,2.05,2.24,8000,0
WEB,2014-01-07,8.8,8.95,8.58,8.78,233800,103605
YEHEY,2014-01-07,1.07,1.07,1.07,1.07,1000,0
CEB,2014-01-07,49.45,49.45,49,49.25,94900,-993095
ICT,2014-01-07,100.5,101.6,100,100.2,1405540,-34069820
MAC,2014-01-07,4,4,3.86,3.86,1904000,-1251510
PAL,2014-01-07,6.45,6.48,6.2,6.2,45000,0
TUGS,2014-01-07,1.29,1.29,1.29,1.29,45000,58050
BHI,2014-01-07,0.141,0.143,0.141,0.142,7590000,0
DWC,2014-01-07,2.2,2.2,2.17,2.17,24000,2180
FEU,2014-01-07,1110,1110,1110,1110,15,0
STI,2014-01-07,0.66,0.67,0.66,0.66,2712000,627000
BLOOM,2014-01-07,9.05,9.2,8.94,9,2019000,-7745612
LOTO,2014-01-07,15.38,15.42,15.36,15.36,14100,0
LR,2014-01-07,6.33,6.38,6.33,6.36,913500,4118639
MJC,2014-01-07,2,2,2,2,33000,0
RWM,2014-01-07,10.52,10.56,10.34,10.5,1210900,4138360
CAL,2014-01-07,3.36,3.4,3.32,3.4,53000,0
PGOLD,2014-01-07,39,39.3,38.85,39.1,1545300,15106975
RRHI,2014-01-07,58.1,58.35,57.95,58,709780,1275838
SEVN,2014-01-07,97,97,95,95,3100,-8730
APC,2014-01-07,0.64,0.64,0.63,0.64,264000,0
PAX,2014-01-07,2.2,2.2,2.16,2.16,150000,0
^MINING-OIL,2014-01-07,12873.12,12950.65,12767.49,12805.1,178125,-28742
AB,2014-01-07,11.8,18,11.7,18,5000,-35200
APX,2014-01-07,1.9,1.9,1.79,1.82,772000,-180360
AR,2014-01-07,0.0031,0.0031,0.0031,0.0031,8000000,0
AT,2014-01-07,15.26,15.4,14,14.3,2983300,764690
